Char;Xpos;Ypos;Layer;Hand;Finger;Fixed
\n;25.6;3.8;0;right;pinky;1
 ;13.7;0;0;left;thumb;1
ShiftLeft;0.6;1.9;0;left;pinky;1
ShiftRight;24.6;1.9;0;right;pinky;1
CapsLock;1.3;3.8;0;left;pinky;1
AltGr;18.3;0;0;right;pinky;1
1;1.9;7.6;0;left;pinky;1
2;3.7;7.6;0;left;pinky;1
3;5.5;7.6;0;left;ring;1
4;7.3;7.6;0;left;middle;1
5;9.1;7.6;0;left;index;1
6;10.9;7.6;0;left;index;1
7;12.7;7.6;0;right;index;1
8;14.5;7.6;0;right;index;1
9;16.3;7.6;0;right;middle;1
0;18.1;7.6;0;right;ring;1
ß;19.9;7.6;0;right;pinky;0
q;3.4;5.7;0;left;pinky;0
w;5.2;5.7;0;left;ring;0
e;7;5.7;0;left;middle;0
r;8.8;5.7;0;left;index;0
t;10.6;5.7;0;left;index;0
z;12.4;5.7;0;right;index;0
u;14.2;5.7;0;right;index;0
i;16;5.7;0;right;middle;0
o;17.8;5.7;0;right;ring;0
p;19.6;5.7;0;right;pinky;0
ü;21.4;5.7;0;right;pinky;0
+;23.2;5.7;0;right;pinky;0
a;4;3.8;0;left;pinky;0
s;5.8;3.8;0;left;ring;0
d;7.6;3.8;0;left;middle;0
f;9.4;3.8;0;left;index;0
g;11.2;3.8;0;left;index;0
h;13;3.8;0;right;index;0
j;14.8;3.8;0;right;index;0
k;16.6;3.8;0;right;middle;0
l;18.4;3.8;0;right;ring;0
ö;20.2;3.8;0;right;pinky;0
ä;22;3.8;0;right;pinky;0
#;23.8;3.8;0;right;pinky;0
<;3;1.9;0;left;pinky;0
y;4.8;1.9;0;left;pinky;0
x;6.6;1.9;0;left;ring;0
c;8.4;1.9;0;left;middle;0
v;10.2;1.9;0;left;index;0
b;12;1.9;0;left;index;0
n;13.8;1.9;0;right;index;0
m;15.6;1.9;0;right;index;0
,;17.4;1.9;0;right;middle;1
.;19.2;1.9;0;right;ring;1
-;21;1.9;0;right;pinky;1
!;1.9;7.6;1;left;pinky;1
"""";3.7;7.6;1;left;pinky;1
§;5.5;7.6;1;left;ring;1
$;7.3;7.6;1;left;middle;1
%;9.1;7.6;1;left;index;1
&;10.9;7.6;1;left;index;1
/;12.7;7.6;1;right;index;1
(;14.5;7.6;1;right;index;1
);16.3;7.6;1;right;middle;1
=;18.1;7.6;1;right;ring;1
?;19.9;7.6;1;right;pinky;1
Q;3.4;5.7;1;left;pinky;1
W;5.2;5.7;1;left;ring;1
E;7;5.7;1;left;middle;1
R;8.8;5.7;1;left;index;1
T;10.6;5.7;1;left;index;1
Z;12.4;5.7;1;right;index;1
U;14.2;5.7;1;right;index;1
I;16;5.7;1;right;middle;1
O;17.8;5.7;1;right;ring;1
P;19.6;5.7;1;right;pinky;1
Ü;21.4;5.7;1;right;pinky;1
*;23.2;5.7;1;right;pinky;1
A;4;3.8;1;left;pinky;1
S;5.8;3.8;1;left;ring;1
D;7.6;3.8;1;left;middle;1
F;9.4;3.8;1;left;index;1
G;11.2;3.8;1;left;index;1
H;13;3.8;1;right;index;1
J;14.8;3.8;1;right;index;1
K;16.6;3.8;1;right;middle;1
L;18.4;3.8;1;right;ring;1
Ö;20.2;3.8;1;right;pinky;1
Ä;22;3.8;1;right;pinky;1
';23.8;3.8;1;right;pinky;1
>;3;1.9;1;left;pinky;1
Y;4.8;1.9;1;left;pinky;1
X;6.6;1.9;1;left;ring;1
C;8.4;1.9;1;left;middle;1
V;10.2;1.9;1;left;index;1
B;12;1.9;1;left;index;1
N;13.8;1.9;1;right;index;1
M;15.6;1.9;1;right;index;1
";";17.4;1.9;1;right;middle;1
:;19.2;1.9;1;right;ring;1
_;21;1.9;1;right;pinky;1
@;3.4;5.7;2;left;pinky;0
€;7;5.7;2;left;middle;0
~;23.2;5.7;2;right;pinky;0
|;3;1.9;2;left;pinky;0
{;12.7;7.6;2;right;index;1
[;14.5;7.6;2;right;index;1
];16.3;7.6;2;right;middle;1
};18.1;7.6;2;right;ring;1
\;19.9;7.6;2;right;pinky;0
